simplified	traditional	pronunciation	meaning	hsklevel
一生	一生	yi1 sheng1	all one's life; throughout one's life	2
一目了然	一目了然	yi1 mu4 liao3 ran2	obvious at a glance (idiom)	7-9
一目了然	一目瞭然	yi1 mu4 liao3 ran2	obvious at a glance (idiom)	7-9
一直	一直	yi1 zhi2	straight (in a straight line); continuously; always; all the way through	2
一眼	一眼	yi1 yan3	a glance; a quick look; a glimpse	7-9
一瞬间	一瞬間	yi1 shun4 jian1	split second	7-9
一筹莫展	一籌莫展	yi1 chou2 mo4 zhan3	to be unable to find a solution; to be at wits' end	7-9
一系列	一系列	yi1 xi4 lie4	a series of; a string of	7-9
一经	一經	yi1 jing1	as soon as; once (an action has been completed)	7-9
一线	一線	yi1 xian4	front line	7-9
一声不吭	一聲不吭	yi1 sheng1 bu4 keng1	to not say a word	7-9
一致	一致	yi1 zhi4	consistent; unanimous; in agreement; together; in unison	4
一举	一舉	yi1 ju3	a move; an action; in one move; at a stroke; in one go	7-9
一举一动	一舉一動	yi1 ju3 yi1 dong4	(idiom) every movement; each and every move	7-9
一般	一般	yi1 ban1	same; ordinary; so-so; common; general; generally; in general	2
一般来说	一般來說	yi1 ban1 lai2 shuo1	generally speaking	4
一行	一行	yi1 xing2	party; delegation	6
一言一行	一言一行	yi1 yan2 yi1 xing2	every word and action (idiom)	7-9
一言不发	一言不發	yi1 yan2 bu4 fa1	to not say a word (idiom)	7-9
一贯	一貫	yi1 guan4	consistent; constant; from start to finish; all along; persistent	6
一起	一起	yi1 qi3	(in) the same place; together; in company (with); altogether; in total; an instance of; a case of (murder, accident, dispute etc)	1
一路	一路	yi1 lu4	the whole journey; all the way; going the same way; going in the same direction; of the same kind	5
一路上	一路上	yi1 lu4 shang4	along the way; the whole way; (fig.) the whole time	6
一路平安	一路平安	yi1 lu4 ping2 an1	to have a pleasant journey; Bon voyage!	2
一路顺风	一路順風	yi1 lu4 shun4 feng1	to have a pleasant journey (idiom)	2
一身	一身	yi1 shen1	whole body; from head to toe; single person; a suit of clothes	5
一辈子	一輩子	yi1 bei4 zi5	(for) a lifetime	5
一连	一連	yi1 lian2	in a row; in succession; running	7-9
一连串	一連串	yi1 lian2 chuan4	a succession of; a series of	7-9
一道	一道	yi1 dao4	together	6
一边	一邊	yi1 bian1	one side; either side; on the one hand; on the other hand; doing while	1
一部分	一部分	yi1 bu4 fen5	portion; part of; subset	2
一锅粥	一鍋粥	yi1 guo1 zhou1	(lit.) a pot of porridge; (fig.) a complete mess	7-9
一长一短	一長一短	yi1 chang2 yi1 duan3	(idiom) talking endlessly; long-winded	7-9
一阵	一陣	yi1 zhen4	a burst; a fit; a peal; a spell (period of time)	7-9
一面	一面	yi1 mian4	one side; one aspect; simultaneously... (and...); one's whole face	7-9
一头	一頭	yi1 tou2	one head; a head full of sth; one end (of a stick); one side; headlong; directly; rapidly; simultaneously	7-9
一体	一體	yi1 ti3	an integral whole; all concerned; everybody	7-9
一点儿	一點兒	yi1 dian3 r5	erhua variant of 一點|一点[yi1 dian3]	1
一点点	一點點	yi1 dian3 dian3	a little bit	2
一鼓作气	一鼓作氣	yi1 gu3 zuo4 qi4	in a spurt of energy	7-9
一齐	一齊	yi1 qi2	at the same time; simultaneously	6
丁	丁	Ding1	surname Ding	7-9
丁	丁	ding1	male adult; the 4th of the 10 Heavenly Stems 天干[tian1 gan1]; fourth (used like "4" or "D"); small cube of meat or vegetable; (literary) to encounter; (archaic) ancient Chinese compass point: 195°; (chemistry) butyl	7-9
丁	丁	zheng1	used in 丁丁[zheng1 zheng1]	7-9
七	七	qi1	seven; 7	1
七嘴八舌	七嘴八舌	qi1 zui3 ba1 she2	lively discussion with everybody talking at once	7-9
万	万	mo4	used in 万俟[Mo4 qi2]	2
丈夫	丈夫	zhang4 fu5	husband	4
三	三	San1	surname San	1
三	三	san1	three; 3	1
三明治	三明治	san1 ming2 zhi4	(loanword) sandwich	6
三番五次	三番五次	san1 fan1 wu3 ci4	over and over again (idiom)	7-9
三维	三維	san1 wei2	three-dimensional; 3D	7-9
三角	三角	san1 jiao3	triangle; (math.) trigonometry (abbr. for 三角學|三角学[san1 jiao3 xue2])	7-9
上	上	shang3	used in 上聲|上声[shang3 sheng1]	1
