simplified	traditional	pronunciation	meaning	hsklevel
另	另	ling4	other; another; separate; separately	6
另一方面	另一方面	ling4 yi1 fang1 mian4	on the other hand; another aspect	3
另外	另外	ling4 wai4	additional; in addition; besides; separate; other; moreover; furthermore	3
只	只	zhi1	variant of 隻|只[zhi1]	3
只	只	zhi3	only; merely; just	3
只不过	只不過	zhi3 bu5 guo4	only; merely; nothing but; no more than; it's just that ...	5
只好	只好	zhi3 hao3	to have no other option but to ...; to have to; to be forced to	3
只得	只得	zhi3 de2	to have no alternative but to; to be obliged to	6
只是	只是	zhi3 shi4	merely; only; just; nothing but; simply; but; however	3
只有	只有	zhi3 you3	only have ...; there is only ...; (used in combination with 才[cai2]) it is only if ... (that one can ...) (as in 只有通過治療才能痊愈|只有通过治疗才能痊愈[zhi3 you3 tong1 guo4 zhi4 liao2 cai2 neng2 quan2 yu4] "the only way to cure it is with therapy"); it is only (someone) who ... (as in 只有男性才有此需要[zhi3 you3 nan2 xing4 cai2 you3 ci3 xu1 yao4] "only men would have such a requirement"); (used to express lack of alternatives) can only; have no choice but to (as in 只有屈服[zhi3 you3 qu1 fu2] "the only thing you can do is give in")	3
只管	只管	zhi3 guan3	solely engrossed in one thing; just (one thing, no need to worry about the rest); simply; by all means; please feel free; do not hesitate (to ask for sth)	6
只能	只能	zhi3 neng2	can only; obliged to do sth; to have no other choice	2
只要	只要	zhi3 yao4	so long as; provided; if	2
只见	只見	zhi3 jian4	to see (the same thing) over and over again; to see, to one's surprise, (sth happen suddenly)	5
只顾	只顧	zhi3 gu4	to focus solely on; to pay attention only to; to be preoccupied with	6
叫作	叫作	jiao4 zuo4	to call; to be called	2
叫好	叫好	jiao4 hao3	to applaud; to cheer	7-9
叫板	叫板	jiao4 ban3	to signal the musicians (in Chinese opera, by prolonging a spoken word before attacking a song); (coll.) to challenge	7-9
召开	召開	zhao4 kai1	to convene (a conference or meeting); to convoke; to call together	4
召集	召集	zhao4 ji2	to convene; to call together	7-9
叮嘱	叮囑	ding1 zhu3	to warn repeatedly; to urge; to exhort again and again	7-9
可	可	ke3	(prefix) can; may; able to; -able; to approve; to permit; to suit; (particle used for emphasis) certainly; very; but; however	5
可	可	ke4	used in 可汗[ke4 han2]	5
可不是	可不是	ke3 bu5 shi4	(coll.) exactly!; indeed; that's for sure	7-9
可乘之机	可乘之機	ke3 cheng2 zhi1 ji1	(idiom) an opportunity that someone (usually a villain or adversary) can exploit	7-9
可以	可以	ke3 yi3	can; may; possible; able to; not bad; pretty good	2
可信	可信	ke3 xin4	trustworthy	7-9
可口	可口	ke3 kou3	tasty; to taste good	7-9
可怕	可怕	ke3 pa4	awful; dreadful; fearful; formidable; frightful; scary; hideous; horrible; terrible; terribly	2
可耻	可恥	ke3 chi3	shameful; disgraceful; ignominious	7-9
可悲	可悲	ke3 bei1	lamentable	7-9
可惜	可惜	ke3 xi1	it is a pity; what a pity; unfortunately	5
可恶	可惡	ke3 wu4	repulsive; vile; hateful; abominable	7-9
可想而知	可想而知	ke3 xiang3 er2 zhi1	(idiom) (it) goes without saying; can well be imagined	7-9
可爱	可愛	ke3 ai4	adorable; cute; lovely	2
可怜	可憐	ke3 lian2	pitiful; pathetic; to have pity on	5
可是	可是	ke3 shi4	but; however; (used for emphasis) indeed	2
可乐	可樂	ke3 le4	amusing; entertaining; (loanword) cola	3
可歌可泣	可歌可泣	ke3 ge1 ke3 qi4	lit. you can sing or you can cry (idiom); fig. deeply moving; happy and sad; inspiring and tragic	7-9
可疑	可疑	ke3 yi2	suspicious; dubious	7-9
可笑	可笑	ke3 xiao4	funny; ridiculous	7-9
可能	可能	ke3 neng2	might (happen); possible; probable; possibility; probability; maybe; perhaps; CL:個|个[ge4]	2
可行	可行	ke3 xing2	feasible	7-9
可见	可見	ke3 jian4	it can clearly be seen (that this is the case); it is (thus) clear; clear; visible	4
可观	可觀	ke3 guan1	worth seeing; considerable; impressive; significant	7-9
可谓	可謂	ke3 wei4	it could even be said	7-9
可贵	可貴	ke3 gui4	to be treasured; praiseworthy	7-9
可靠	可靠	ke3 kao4	reliable	3
台	台	Tai2	Taiwan (abbr.); surname Tai	3
台	台	tai1	used in place names	3
台	台	tai2	(classical) you (in letters); variant of 臺|台[tai2]	3
台球	台球	tai2 qiu2	billiards	7-9
史无前例	史無前例	shi3 wu2 qian2 li4	(idiom) unprecedented in history	7-9
右	右	you4	(bound form) right; right-hand side; (bound form) (politics) right of center; (bound form) (old) west; (literary) the right side as the side of precedence	1
右边	右邊	you4 bian5	right side; right, to the right	1
司令	司令	si1 ling4	commanding officer	7-9
司机	司機	si1 ji1	chauffeur; driver	2
司法	司法	si1 fa3	judicial; (administration of) justice	7-9
司空见惯	司空見慣	si1 kong1 jian4 guan4	a common occurrence (idiom)	7-9
司长	司長	si1 zhang3	bureau chief	6
叼	叼	diao1	to hold with one's mouth (as a smoker with a cigarette or a dog with a bone)	7-9
吃	吃	chi1	to eat; to consume; to eat at (a cafeteria etc); to eradicate; to destroy; to absorb; to suffer (shock, injury, defeat etc)	1
吃不上	吃不上	chi1 bu5 shang4	unable to get anything to eat; to miss a meal	7-9
吃力	吃力	chi1 li4	to entail strenuous effort; to toil at a task; strenuous; laborious; strain	5
吃喝玩乐	吃喝玩樂	chi1 he1 wan2 le4	lit. to eat, drink, play and be merry (idiom); fig. to abandon oneself to a life of pleasure	7-9
吃苦	吃苦	chi1 ku3	to bear hardships	7-9
吃亏	吃虧	chi1 kui1	to suffer losses; to come to grief; to lose out; to get the worst of it; to be at a disadvantage; unfortunately	7-9
吃饭	吃飯	chi1 fan4	to have a meal; to eat; to make a living	1
吃惊	吃驚	chi1 jing1	to be startled; to be shocked; to be amazed	4
各	各	ge4	each; every	3
各位	各位	ge4 wei4	everybody; all (guests, colleagues etc); all of you	3
各个	各個	ge4 ge4	every; various; separately, one by one	4
各地	各地	ge4 di4	in all parts of (a country); various regions	3
各奔前程	各奔前程	ge4 ben4 qian2 cheng2	each goes his own way (idiom); each person has his own life to lead	7-9
各式各样	各式各樣	ge4 shi4 ge4 yang4	(of) all kinds and sorts; various	7-9
各种	各種	ge4 zhong3	every kind of; all kinds of; various	3
各自	各自	ge4 zi4	each; respective; apiece	3
合	合	ge3	100 ml; one-tenth of a peck; measure for dry grain equal to one-tenth of sheng 升 or liter, or one-hundredth dou 斗	3
合	合	he2	to close; to join; to fit; to be equal to; whole; together; round (in battle); conjunction (astronomy); 1st note of pentatonic scale; old variant of 盒[he2]	3
合并	合並	he2 bing4	variant of 合併|合并[he2 bing4]	5
合乎	合乎	he2 hu1	to accord with; to conform to	7-9
合伙	合伙	he2 huo3	to act jointly; to form a partnership	7-9
合作	合作	he2 zuo4	to cooperate; to collaborate; to work together	3
合作社	合作社	he2 zuo4 she4	cooperative; workers' or agricultural producers' cooperative etc	7-9
合并	合併	he2 bing4	to merge; to annex	5
合同	合同	he2 tong5	contract; agreement; CL:份[fen4]	4
合唱	合唱	he2 chang4	chorus; to chorus	7-9
合影	合影	he2 ying3	group photo; to take a group photo	7-9
合情合理	合情合理	he2 qing2 he2 li3	(idiom) reasonable; fair	7-9
合成	合成	he2 cheng2	to compose; to constitute; compound; synthesis; mixture; synthetic	5
合格	合格	he2 ge2	to meet the standard required; qualified; eligible (voter etc)	3
合法	合法	he2 fa3	lawful; legitimate; legal	3
合理	合理	he2 li3	rational; reasonable; sensible; fair	3
合约	合約	he2 yue1	contract; agreement; CL:份[fen4]	6
合计	合計	he2 ji4	to add up the total; to figure what sth amounts to; to consider	7-9
合资	合資	he2 zi1	joint venture	7-9
合适	合適	he2 shi4	suitable; fitting; appropriate	2
吉他	吉他	ji2 ta1	(loanword) guitar; CL:把[ba3]	7-9
吉利	吉利	Ji2 li4	Geely, Chinese car make	6
吉利	吉利	ji2 li4	auspicious; lucky; propitious	6
吉普	吉普	Ji2 pu3	Jeep (car brand)	7-9
吉祥	吉祥	ji2 xiang2	lucky; auspicious; propitious	6
吉祥物	吉祥物	ji2 xiang2 wu4	mascot	7-9
吊	吊	diao4	to suspend; to hang up; to hang a person	6
吊销	吊銷	diao4 xiao1	to suspend (an agreement); to revoke	7-9
同	同	tong2	like; same; similar; together; alike; with	6
同	同	tong4	used in 胡同[hu2 tong4]	6
同一	同一	tong2 yi1	identical; the same	6
同事	同事	tong2 shi4	colleague; co-worker	2
同人	同人	tong2 ren2	people from the same workplace or profession; co-worker; colleague; (fandom) fan creator or enthusiast involved in derivative works (e.g. fan fiction, fan art)	7-9
同伙	同伙	tong2 huo3	colleague; co-conspirator; accomplice	7-9
同伴	同伴	tong2 ban4	companion; comrade; fellow	7-9
同学	同學	tong2 xue2	to study at the same school; fellow student; classmate; CL:位[wei4],個|个[ge4]	1
同年	同年	tong2 nian2	the same year	7-9
同志	同志	tong2 zhi4	comrade; (slang) homosexual; CL:位[wei4]	7-9
同情	同情	tong2 qing2	to sympathize with; sympathy	4
同意	同意	tong2 yi4	to agree; to consent; to approve	3
同感	同感	tong2 gan3	(have the) same feeling; similar impression; common feeling	7-9
同时	同時	tong2 shi2	at the same time; simultaneously	2
同期	同期	tong2 qi1	the corresponding time period (in a different year etc); concurrent; synchronous	6
同样	同樣	tong2 yang4	same; equal; similar; similarly; also; too	2
同步	同步	tong2 bu4	synchronous; to synchronize; to keep step with	7-9
同盟	同盟	tong2 meng2	alliance	7-9
同等	同等	tong2 deng3	equal to; having the same social class or status	7-9
同胞	同胞	tong2 bao1	born of the same parents; sibling; fellow citizen; compatriot	6
同舟共济	同舟共濟	tong2 zhou1 gong4 ji4	cross a river in the same boat (idiom); fig. having common interests; obliged to collaborate towards common goals	7-9
同行	同行	tong2 hang2	person of the same profession; of the same trade, occupation or industry	6
同行	同行	tong2 xing2	to journey together	6
同类	同類	tong2 lei4	similar; same type; alike	7-9
名	名	ming2	name; noun (part of speech); place (e.g. among winners); famous; classifier for people	2
名人	名人	ming2 ren2	personage; celebrity	4
名利	名利	ming2 li4	fame and profit	7-9
名副其实	名副其實	ming2 fu4 qi2 shi2	not just in name only, but also in reality (idiom); aptly named; worthy of the name	7-9
名胜	名勝	ming2 sheng4	a place famous for its scenery or historical relics; scenic spot; CL:處|处[chu4]	6
名单	名單	ming2 dan1	list of names	2
名字	名字	ming2 zi5	name (of a person or thing); CL:個|个[ge4]	1
名气	名氣	ming2 qi5	reputation; fame	7-9
名片	名片	ming2 pian4	(business) card	4
名牌儿	名牌兒	ming2 pai2 r5	erhua form of 名牌[ming2 pai2]	4
名称	名稱	ming2 cheng1	name (of a thing); name (of an organization)	2
名义	名義	ming2 yi4	name; titular; nominal; in name; ostensible purpose	6
名声	名聲	ming2 sheng1	reputation	7-9
名著	名著	ming2 zhu4	masterpiece	7-9
名言	名言	ming2 yan2	saying; famous remark	7-9
名誉	名譽	ming2 yu4	fame; reputation; honor; honorary; emeritus (of retired professor)	6
名贵	名貴	ming2 gui4	famous and valuable; rare; precious	7-9
名额	名額	ming2 e2	quota; number of places; place (in an institution, a group etc)	6
后	后	Hou4	surname Hou	1
后	后	hou4	empress; queen; (archaic) monarch; ruler	1
吐	吐	tu3	to spit; to send out (silk from a silkworm, bolls from cotton flowers etc); to say; to pour out (one's grievances)	5
吐	吐	tu4	to vomit; to throw up	5
向	向	Xiang4	surname Xiang	2
向	向	xiang4	towards; to face; to turn towards; direction; to support; to side with; shortly before; formerly; always; all along; (suffix) suitable for ...; oriented to ...	2
向上	向上	xiang4 shang4	upward; up; to advance; to try to improve oneself; to make progress	5
向来	向來	xiang4 lai2	always (previously)	7-9
向前	向前	xiang4 qian2	forward; onward	5
向着	向著	xiang4 zhe5	towards; facing (sb or sth); (coll.) to side with; to favor	7-9
君子	君子	jun1 zi3	nobleman; person of noble character	7-9
吞	吞	tun1	to swallow; to take	6
否则	否則	fou3 ze2	otherwise; if not; or (else)	4
否定	否定	fou3 ding4	to negate; to deny; to reject; negative (answer); negation	3
否决	否決	fou3 jue2	to veto; to overrule	7-9
否认	否認	fou3 ren4	to declare to be untrue; to deny	3
吧	吧	ba1	bar (loanword) (serving drinks, or providing Internet access etc); to puff (on a pipe etc); (onom.) bang; abbr. for 貼吧|贴吧[tie1 ba1]	1
吧	吧	ba5	(modal particle indicating suggestion or surmise); ...right?; ...OK?; ...I presume.	1
吧	吧	bia1	(onom.) smack!	1
吩咐	吩咐	fen1 fu5	to tell; to instruct; to command	7-9
含	含	han2	to keep in the mouth; to contain	4
含有	含有	han2 you3	to contain; including	4
含糊	含糊	han2 hu5	ambiguous; vague; careless; perfunctory	7-9
含义	含義	han2 yi4	meaning (implicit in a phrase); implied meaning; hidden meaning; hint; connotation	4
含蓄	含蓄	han2 xu4	to contain; to hold; (of a person or style etc) reserved; restrained; (of words, writings) full of hidden meaning; implicit; veiled (criticism)	7-9
含量	含量	han2 liang4	content; quantity contained	4
听	听	yin3	smile (archaic)	1
吵	吵	chao3	to quarrel; to make a noise; noisy; to disturb by making a noise	3
吵嘴	吵嘴	chao3 zui3	to quarrel	7-9
吵架	吵架	chao3 jia4	to quarrel; to have a row; quarrel; CL:頓|顿[dun4]	3
呐喊	吶喊	na4 han3	shout; rallying cry; cheering; to shout	7-9
吸	吸	xi1	to breathe; to suck in; to absorb; to inhale	4
吸取	吸取	xi1 qu3	to absorb; to draw (a lesson, insight etc); to assimilate	7-9
吸引	吸引	xi1 yin3	to attract; to appeal to; to fascinate	4
吸收	吸收	xi1 shou1	to absorb; to assimilate; to ingest; to recruit	4
吸毒	吸毒	xi1 du2	to take drugs	6
吸烟	吸煙	xi1 yan1	to smoke	4
吸管	吸管	xi1 guan3	(drinking) straw; pipette; eyedropper; snorkel; CL:支[zhi1]	4
吸纳	吸納	xi1 na4	to take in; to absorb; to admit; to accept	7-9
吹	吹	chui1	to blow; to play a wind instrument; to blast; to puff; to boast; to brag; to end in failure; to fall through	2
吹了	吹了	chui1 le5	failed; busted; to have not succeeded; to have died; to have parted company; to have chilled (of a relationship)	7-9
吹捧	吹捧	chui1 peng3	to flatter; to laud sb's accomplishments; adulation	7-9
吹牛	吹牛	chui1 niu2	to talk big; to brag; to shoot off one's mouth; (dialect) to chat idly	7-9
吻	吻	wen3	kiss; to kiss; mouth	7-9
吻合	吻合	wen3 he2	to be a good fit; to be identical with; to adjust oneself to; to fit in	7-9
吼	吼	hou3	to roar; to howl; to shriek; roar or howl of an animal; bellow of rage	7-9
呀	呀	ya1	ah (used to express surprise); (onom.) creaking	4
呀	呀	ya5	(particle equivalent to 啊 after a vowel, expressing surprise or doubt)	4
呆	呆	dai1	foolish; stupid; expressionless; blank; variant of 待[dai1]	5
呈现	呈現	cheng2 xian4	to appear; to emerge; to present (a certain appearance); to demonstrate	7-9
告	告	gao4	(bound form) to say; to tell; to announce; to report; to denounce; to file a lawsuit; to sue	7-9
告别	告別	gao4 bie2	to leave; to part from; to bid farewell to; to say goodbye to	3
告状	告狀	gao4 zhuang4	to tell on sb; to complain (to a teacher, a superior etc); to bring a lawsuit	7-9
告知	告知	gao4 zhi1	to inform; to notify	7-9
告示	告示	gao4 shi5	announcement	7-9
告诉	告訴	gao4 su4	to press charges; to file a complaint	1
告诉	告訴	gao4 su5	to tell; to inform; to let know	1
告诫	告誡	gao4 jie4	to warn; to admonish	7-9
告辞	告辭	gao4 ci2	to say goodbye; to take one's leave	7-9
呢	呢	ne5	(sentence-final particle) used in questions to link back to prior discourse or context ("what about...?", "and...?"); (sentence-final particle) indicating that a state or situation still holds; (discourse particle) used to mark a slight pause or emphasis in speech	1
呢	呢	ni2	dense wool fabric (used for coats and jackets)	1
周	周	Zhou1	surname Zhou; Zhou Dynasty (1046–256 BC)	2
周	周	zhou1	to make a circuit; to circle; circle; circumference; lap; cycle; complete; all; all over; thorough; to help financially	2
周到	周到	zhou1 dao4	thoughtful; considerate; attentive; thorough; also pr. [zhou1 dao5]	7-9
周围	周圍	zhou1 wei2	environs; surroundings; periphery	3
周密	周密	zhou1 mi4	careful; thorough; meticulous	7-9
周旋	周旋	zhou1 xuan2	to mix with others; to socialize; to deal with; to contend	7-9
周边	周邊	zhou1 bian1	periphery; rim; perimeter; surroundings; (computing) (attributive) peripheral; merch (abbr. for 周邊商品|周边商品[zhou1 bian1 shang1 pin3])	7-9
味儿	味兒	wei4 r5	taste	4
味精	味精	wei4 jing1	monosodium glutamate (MSG)	7-9
味道	味道	wei4 dao5	flavor; taste; (fig.) feeling (of ...); sense (of ...); hint (of ...); (fig.) interest; delight; (dialect) smell; odor	2
呵护	呵護	he1 hu4	to bless; to cherish; to take good care of; to conserve	7-9
呼吸	呼吸	hu1 xi1	to breathe	4
呼唤	呼喚	hu1 huan4	to call out (a name etc); to shout	7-9
呼应	呼應	hu1 ying4	to conform (with); to echo; to correlate well; (linguistics) agreement	7-9
呼救	呼救	hu1 jiu4	to call for help	7-9
呼吁	呼籲	hu1 yu4	to call on (sb to do sth); to appeal (to); an appeal	7-9
呼声	呼聲	hu1 sheng1	a shout; fig. opinion or demand, esp. expressed by a group	7-9
呼风唤雨	呼風喚雨	hu1 feng1 huan4 yu3	to call the wind and summon the rain (idiom); to exercise magical powers; fig. to stir up troubles	7-9
命令	命令	ming4 ling4	order; command; CL:道[dao4],個|个[ge4]	5
命名	命名	ming4 ming2	to give a name to; to dub; to christen; to designate; named after; naming	7-9
命运	命運	ming4 yun4	fate; destiny	3
命题	命題	ming4 ti2	proposition (logic, math.); to assign an essay topic	7-9
和	咊	he2	old variant of 和[he2]	1
和	和	He2	surname He	1
和	和	he2	(joining two nouns) and; together with; with (Taiwan pr. [han4]); (math.) sum; to make peace; (sports) to draw; to tie; (bound form) harmonious; (bound form) Japan; Japanese	1
和	和	he4	to compose a poem in reply (to sb's poem) using the same rhyme sequence; to join in the singing; to chime in with others	1
和	和	hu2	to complete a set in mahjong or playing cards	1
和	和	huo2	to combine a powdery substance (flour, plaster etc) with water; Taiwan pr. [huo4]	1
和	和	huo4	to mix (ingredients) together; to blend; classifier for rinses of clothes; classifier for boilings of medicinal herbs	1
和尚	和尚	he2 shang5	Buddhist monk	7-9
和平	和平	he2 ping2	peace; peaceful	3
和平共处	和平共處	he2 ping2 gong4 chu3	peaceful coexistence of nations, societies etc	7-9
和气	和氣	he2 qi5	friendly; polite; amiable	7-9
和睦	和睦	he2 mu4	peaceful relations; harmonious	7-9
和蔼	和藹	he2 ai3	kindly; nice; amiable	7-9
和解	和解	he2 jie3	to settle (a dispute out of court); to reconcile; settlement; conciliation; to become reconciled	7-9
和谐	和諧	he2 xie2	harmonious; harmony; (euphemism) to censor	6
咖啡	咖啡	ka1 fei1	(loanword) coffee; CL:杯[bei1]	3
咧嘴	咧嘴	lie3 zui3	to grin	7-9
咨询	咨詢	zi1 xun2	variant of 諮詢|咨询[zi1 xun2]	6
咬	咬	yao3	to bite; to nip	5
咱	咱	za2	see 咱[zan2]	2
咱	咱	zan2	I or me; we (including both the speaker and the person spoken to)	2
咱们	咱們	zan2 men5	we or us (including both the speaker and the person(s) spoken to); (dialect) I or me; (dialect) (in a coaxing or familiar way) you; also pr. [za2 men5]	2
笑	咲	xiao4	old variant of 笑[xiao4]	1
咳	咳	hai1	sound of sighing; (interjection expressing surprise, sorrow, regret, disappointment etc) oh; damn; wow	5
咳	咳	ke2	cough	5
咳嗽	咳嗽	ke2 sou5	to cough; CL:陣|阵[zhen4]	7-9
咸	咸	Xian2	surname Xian	4
咸	咸	xian2	all; everyone; each; widespread; harmonious	4
咽	咽	yan1	throat; pharynx; narrow pass	7-9
咽	咽	yan4	variant of 嚥|咽[yan4]	7-9
咽	咽	ye4	to choke (in crying)	7-9
咽喉	咽喉	yan1 hou2	throat	7-9
哀求	哀求	ai1 qiu2	to entreat; to implore; to plead	7-9
品	品	pin3	(bound form) article; commodity; product; goods; (bound form) grade; rank; kind; type; variety; character; disposition; nature; temperament; to taste sth; to sample; to criticize; to comment; to judge; to size up; fret (on a guitar or lute)	5
品位	品位	pin3 wei4	rank; grade; quality; (aesthetic) taste	7-9
品尝	品嘗	pin3 chang2	variant of 品嚐|品尝[pin3 chang2]	7-9
品尝	品嚐	pin3 chang2	to have a taste of; to sample	7-9
品德	品德	pin3 de2	moral character	7-9
品牌	品牌	pin3 pai2	brand; brand name	6
品种	品種	pin3 zhong3	breed; variety; CL:個|个[ge4]	5
品行	品行	pin3 xing2	behavior; moral conduct	7-9
品质	品質	pin3 zhi4	character; intrinsic quality (of a person); quality (of a product or service, or as in "quality of life", "air quality" etc)	4
哄	哄	hong1	roar of laughter (onom.); hubbub; to roar (as a crowd)	7-9
哄	哄	hong3	to deceive; to coax; to amuse (a child)	7-9
哄堂大笑	哄堂大笑	hong1 tang2 da4 xiao4	the whole room roaring with laughter (idiom)	7-9
哆嗦	哆嗦	duo1 suo5	to tremble; to shiver	7-9
哇	哇	wa1	Wow!; sound of a child's crying; sound of vomiting	6
哇	哇	wa5	replaces 啊[a5] when following the vowel "u" or "ao"	6
哈哈	哈哈	ha1 ha1	(onom.) laughing out loud	3
哎	哎	ai1	hey!; (interjection used to attract attention or to express surprise or disapprobation)	7-9
哎呀	哎呀	ai1 ya1	interjection of wonder, shock or admiration	7-9
员工	員工	yuan2 gong1	staff; personnel; employee	3
哦	哦	e2	to chant	7-9
哦	哦	o2	oh (interjection indicating doubt or surprise)	7-9
哦	哦	o4	oh (interjection indicating that one has just learned sth)	7-9
哦	哦	o5	sentence-final particle that conveys informality, warmth, friendliness or intimacy; may also indicate that one is stating a fact that the other person is not aware of	7-9
哪	哪	na3	how; which	4
哪	哪	na5	(emphatic sentence-final particle, used instead of 啊[a5] after a word ending in "n")	4
哪	哪	ne2	used in 哪吒[Ne2 zha1]; Taiwan pr. [nuo2]	4
哪	哪	nei3	which? (interrogative, followed by classifier or numeral-classifier)	4
哪些	哪些	na3 xie1	which ones?; who?; what?	1
哪儿	哪兒	na3 r5	where?; wherever; anywhere; somewhere; (used in rhetorical questions) how can ...?; how could ...?	1
哪怕	哪怕	na3 pa4	even; even if; even though; no matter how	4
哪知道	哪知道	na3 zhi1 dao4	who would have thought that ...?	7-9
哪里	哪裏	na3 li3	where?; somewhere; anywhere; wherever; nowhere (negative answer to question); humble expression denying compliment; also written 哪裡|哪里	1
哪里	哪裡	na3 li3	where?; somewhere; anywhere; wherever; nowhere (negative answer to question); humble expression denying compliment	1
哭	哭	ku1	to cry; to weep	2
哭泣	哭泣	ku1 qi4	to weep	7-9
哭笑不得	哭笑不得	ku1 xiao4 bu4 de2	lit. not to know whether to laugh or cry (idiom); both funny and extremely embarrassing; between laughter and tears	7-9
哲学	哲學	zhe2 xue2	philosophy	6
哺育	哺育	bu3 yu4	to feed; (fig.) to nurture; to foster	7-9
哼	哼	heng1	to groan; to snort; to hum; to croon; humph!	7-9
哼	哼	hng5	interjection expressing dissatisfaction or suspicion	7-9
唉	唉	ai1	interjection or grunt of agreement or recognition (e.g. yes, it's me!); to sigh	7-9
唉	唉	ai4	alas; oh dear	7-9
售价	售價	shou4 jia4	selling price	7-9
售票	售票	shou4 piao4	to sell tickets	7-9
售货员	售貨員	shou4 huo4 yuan2	sales clerk; sales associate; retail salesperson	4
唯	唯	wei2	only; alone; -ism (in Chinese, a prefix, often combined with a suffix such as 主義|主义[zhu3 yi4] or 論|论[lun4], e.g. 唯理論|唯理论[wei2 li3 lun4], rationalism)	7-9
唯	唯	wei3	yes	7-9
唯一	唯一	wei2 yi1	only; sole	5
唯独	唯獨	wei2 du2	only; just (i.e. it is only that...); all except; unique	7-9
唱	唱	chang4	to sing; to call loudly; to chant	1
唱歌	唱歌	chang4 ge1	to sing a song	1
唱片	唱片	chang4 pian4	gramophone record; LP; music CD; musical album; CL:張|张[zhang1]	4
念	唸	nian4	variant of 念[nian4], to read aloud	3
唾液	唾液	tuo4 ye4	saliva	7-9
啃	啃	ken3	to gnaw; to nibble; to bite	7-9
商人	商人	shang1 ren2	merchant; businessman	2
商务	商務	shang1 wu4	commercial affairs; commercial; commerce; business	4
商品	商品	shang1 pin3	commodity; goods; merchandise; CL:件[jian4]	3
商城	商城	Shang1 cheng2	see 商城縣|商城县[Shang1 cheng2 Xian4]	6
商城	商城	shang1 cheng2	shopping center; department store	6
商场	商場	shang1 chang3	shopping mall; shopping center; department store; emporium; CL:家[jia1]; the business world	1
商店	商店	shang1 dian4	store; shop; CL:家[jia1]	1
商业	商業	shang1 ye4	business; trade; commerce	3
商标	商標	shang1 biao1	trademark; logo	5
商讨	商討	shang1 tao3	to discuss; to deliberate	7-9
商贩	商販	shang1 fan4	trader; peddler	7-9
商贾	商賈	shang1 gu3	merchant	7-9
商量	商量	shang1 liang5	to consult; to talk over; to discuss	2
啊	啊	a1	interjection of surprise; Ah!; Oh!	4
啊	啊	a2	interjection expressing doubt or requiring answer; Eh?; what?	4
啊	啊	a3	interjection of surprise or doubt; Eh?; My!; what's up?	4
啊	啊	a4	interjection or grunt of agreement; uhm; Ah, OK; expression of recognition; Oh, it's you!	4
啊	啊	a5	modal particle ending sentence, showing affirmation, approval, or consent	4
问	問	wen4	to ask; to inquire	1
问世	問世	wen4 shi4	to be published; to come out	7-9
问候	問候	wen4 hou4	to give one's respects; to send a greeting; (fig.) (coll.) to make offensive reference to (somebody dear to the person to whom one is speaking)	4
问卷	問卷	wen4 juan4	questionnaire; CL:份[fen4]	7-9
问路	問路	wen4 lu4	to ask for directions; to ask the way (to some place)	2
问题	問題	wen4 ti2	question; problem; issue; topic; CL:個|个[ge4]	2
哑	啞	ya1	(onom.) sound of cawing; sound of infant learning to talk; variant of 呀[ya1]	7-9
哑	啞	ya3	mute; dumb; incapable of speech; (of a voice) hoarse; husky; (bound form) (of a bullet, bomb etc) dud	7-9
启事	啟事	qi3 shi4	announcement (written, on billboard, letter, newspaper or website); to post information; a notice	5
启动	啟動	qi3 dong4	to start (a machine); (fig.) to set in motion; to launch (an operation); to activate (a plan)	5
启发	啟發	qi3 fa1	to enlighten; to explain (a text etc); to stimulate (a mental attitude); enlightenment; revelation; motivation	5
启蒙	啟矇	qi3 meng2	variant of 啟蒙|启蒙[qi3 meng2]; to instruct the young	7-9
启示	啟示	qi3 shi4	to reveal; to enlighten; enlightenment; revelation; illumination; moral (of a story etc); lesson	7-9
启蒙	啟蒙	qi3 meng2	to instruct the young; to initiate; to awake sb from ignorance; to free sb from prejudice or superstition; primer; enlightened; the Enlightenment; Western learning from the late Qing dynasty	7-9
启迪	啟迪	qi3 di2	to edify; enlightenment	7-9
啤酒	啤酒	pi2 jiu3	beer (loanword); CL:杯[bei1],瓶[ping2],罐[guan4],桶[tong3],缸[gang1]	3
啦	啦	la1	(onom.) sound of singing, cheering etc; (phonetic); (dialect) to chat	6
啦	啦	la5	sentence-final particle, contraction of 了啊, indicating exclamation; particle placed after each item in a list of examples	6
啦啦队	啦啦隊	la1 la1 dui4	cheerleading squad	7-9
善	善	shan4	good (virtuous); benevolent; well-disposed; good at sth; to improve or perfect	7-9
善意	善意	shan4 yi4	goodwill; benevolence; kindness	7-9
善于	善於	shan4 yu2	to be good at; to be adept at	4
善良	善良	shan4 liang2	good and honest; kindhearted	4
喇叭	喇叭	la3 ba5	horn (automobile etc); loudspeaker; brass wind instrument; trumpet; suona 鎖吶|锁呐[suo3 na4]	7-9
喉咙	喉嚨	hou2 long2	the throat	7-9
喊	喊	han3	to yell; to shout; to call out for (a person)	2
咱	喒	zan2	variant of 咱[zan2]	2
喘	喘	chuan3	to gasp; to pant; asthma	7-9
喘息	喘息	chuan3 xi1	to gasp for breath; to take a breather	7-9
唤起	喚起	huan4 qi3	to waken (to action); to rouse (the masses); to evoke (attention, recollection etc)	7-9
喜事	喜事	xi3 shi4	happy occasion; wedding	7-9
喜出望外	喜出望外	xi3 chu1 wang4 wai4	to be pleased beyond one's expectations (idiom); overjoyed at the turn of events	7-9
